category,year,sales,emp,Export,gdp,inputs,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share,avg_employment,TFP
medium domestic,2008,1.0397227205486782e10,289081.0,1.389304357386344e9,2.0481368505142672e9,4.933005753043251e6,3139,1516,43,7084.992962229504,35966.48415318468,0.13362258320691367,92.09334182860783,415.1904443352288
medium domestic,2009,8.304244393475731e9,256597.0,1.124514116516119e9,1.7396133426473355e9,4.442501343541539e6,2782,1372,48,6779.554486791878,32362.983173909794,0.13541438127707306,92.23472322070452,391.58420180927277
medium domestic,2010,8.3695371009331455e9,251890.0,1.2783005181756136e9,1.6865603539624887e9,4.340873512819177e6,2721,1373,44,6695.622509676798,33226.95264176087,0.15273252304874685,92.57258360896729,388.5301769291023
medium domestic,2011,8.716193163991121e9,252589.0,1.513687746072858e9,1.7491847393057098e9,4.277330443019545e6,2732,1399,55,6925.023414739794,34507.413877845516,0.17366385962237493,92.45571010248902,408.9430925684778
medium domestic,2012,8.341376365311387e9,248010.0,1.5004958613036032e9,1.697993417539044e9,4.1790633866638015e6,2684,1389,18,6846.471583964533,33633.225939725766,0.17988588400633676,92.40312965722802,406.30956279765195
medium domestic,2013,9.156709700909065e9,259641.96994400024,1.756618180941368e9,1.8850018857850757e9,4.3654437128284965e6,2768,1449,51,7260.004560093402,35266.67781362154,0.1918394530698045,93.80128971965327,431.8007537803594
medium domestic,2014,1.005943507529836e10,262197.0,1.799418750480299e9,2.107645962004156e9,4.590543639252998e6,2802,1494,24,8038.40609161873,38365.94268926937,0.1788787080995131,93.57494646680942,459.1277477425583
medium domestic,2015,1.1149254353500492e10,295147.0,1.9897699078376126e9,2.3498808932500114e9,5.091640316634995e6,3183,1701,29,7961.730572392778,37775.258950626274,0.17846663505464755,92.72604461200126,461.51745746310297
medium domestic,2016,1.0928461389995743e10,298820.0,2.0005147728882697e9,2.4055667292176037e9,5.22834427138707e6,3210,1704,36,8050.219962578153,36572.05471519892,0.18305548251463868,93.09034267912773,460.1010576871234
medium domestic,2017,1.1750876296303429e10,304105.0,1.9683877542385917e9,2.7621362452824287e9,5.4166252952791555e6,3286,1759,27,9082.837326852334,38640.851996196805,0.16750986944333707,92.54564820450396,509.9367400749985
medium domestic,2018,1.4078332627158207e10,326430.0,1.9495846499866917e9,3.0609955242387185e9,5.912610364823116e6,3511,1231,24,9377.188139076428,43128.18254191774,0.13848121802618799,92.9735118199943,517.7062812137956
medium domestic,2019,1.4871295883740627e10,329622.0,2.0002003357803764e9,3.2732644525685363e9,6.053270769417509e6,3574,1283,24,9930.357963268641,45116.211550626555,0.13450074233055065,92.22775601566872,540.743108520076
medium domestic,2020,1.3890497409420727e10,305974.0,1.907246473641698e9,3.1690282569867363e9,5.819325699953891e6,3320,1257,23,10357.18151537953,45397.63969951933,0.13730584423479156,92.16084337349398,544.5696667247626
