category,year,sales,emp,Export,gdp,n_firms,n_firms_export,n_new_firms,gdp_per_worker,sales_per_worker,export_share
medium,2021,3.978211999253542e10,523107.0,1.1482553230239567e10,7.377873939603337e9,5249,1442,31,14103.948025171403,76049.68007030191,0.28863603127219245
medium,2022,4.2252932735e10,520272.0,1.208330789e10,6.21338398e9,5266,1458,42,11942.568464187963,81213.15914560076,0.2859756023512861
micro,1980,0.0,63.0,0.0,0.0,495,0,495,0.0,0.0,NaN
micro,1981,0.0,69.0,0.0,0.0,481,0,48,0.0,0.0,NaN
micro,1982,0.0,66.0,0.0,0.0,443,0,44,0.0,0.0,NaN
micro,1983,0.0,70.0,0.0,0.0,443,0,76,0.0,0.0,NaN
micro,1984,0.0,108.0,0.0,0.0,354,0,81,0.0,0.0,NaN
micro,1985,0.0,358.0,0.0,0.0,410,0,153,0.0,0.0,NaN
micro,1986,0.0,655.0,0.0,0.0,524,0,215,0.0,0.0,NaN
micro,1987,1.1776282166990845e8,1035.0,1.1426868063147182e7,3.141442152528118e7,733,10,360,30352.09809205911,113780.50402889705,0.09703289969712955
micro,1988,4.1992344807189614e8,1235.0,5.537246623771343e6,1.1344655487694097e8,1512,26,956,91859.5586048105,340018.9862930333,0.013186323957845044
micro,1989,3.969553260686628e9,562.0,4.27357740261487e8,7.4795616553281e8,7422,439,6028,1.3308828568199466e6,7.063262029691509e6,0.10765890068636222
micro,1990,3.470230776593421e9,32086.0,3.026113866594519e8,5.912391537575002e8,15491,1042,11302,18426.701793850905,108154.04776517549,0.08720209292723544
micro,1991,4.771315571225717e9,57017.0,4.778178748935066e8,7.419182693902872e8,29532,2202,17008,13012.229149030765,83682.33283451806,0.10014384246036331
micro,1992,7.855263739363252e9,135794.0,9.012895448499475e8,1.8727288649393234e9,87449,4808,62553,13790.954423165407,57846.91326099277,0.1147370189919309
micro,1993,9.25271762254552e9,193381.0,8.972070125727655e8,2.0747915267499418e9,109105,5496,37457,10729.035048685972,47847.08747263444,0.09696686413368943
micro,1994,1.09823997316613e10,240164.0,1.111568185198795e9,2.208215885060125e9,138656,6313,39646,9194.616533119555,45728.750902138956,0.1012135974248179
micro,1995,1.137594657486176e10,267647.0,1.4232440041510494e9,2.2602095159276633e9,156497,7274,33540,8444.74070670571,42503.54599476833,0.12510994094294475
micro,1996,1.1653796788703093e10,303353.0,1.1693538949630957e9,2.3663431736443796e9,182262,7818,41445,7800.625586839028,38416.6195445672,0.10034102328750394
micro,1997,1.1977417522216301e10,324383.0,1.3285245448334546e9,2.544443083079445e9,201219,7644,39041,7843.947072070499,36923.690582479045,0.11091911443925556
micro,1998,1.3788403142865261e10,361895.0,1.3569383247462842e9,2.969091045696227e9,227239,8044,37738,8204.288662999563,38100.562712569284,0.09841156446375192
micro,1999,1.407431093544011e10,381069.0,1.5867675381432455e9,3.223226454922984e9,234570,7686,30516,8458.380122557815,36933.75985829367,0.11274211188184373
micro,2000,1.5534002981145647e10,414922.0,1.634731193089604e9,3.7078001023058157e9,256427,8024,38495,8936.137641064623,37438.369093819194,0.10523566881464838
micro,2001,1.7172449330291721e10,442769.0,1.8668635802618089e9,3.1944273627603865e9,278411,6424,38325,7214.659027078197,38784.21779820114,0.10871271443897719
